Commodity Group,Commodity,MSP (Rs./Quintal),Date,Price,Arrival (Metric Tonnes)
Vegetables,Potato,0,2025-04-03,751.16,60210.62
Vegetables,Tomato,0,2025-04-03,675.8,121932.39
Cereals,Bajra,2775,2025-04-04,2777.23,10343.18
Cereals,Barley,2150,2025-04-04,2007.23,181657.76
Cereals,Jowar,3699,2025-04-04,3409.99,29021.73
Cereals,Maize,2400,2025-04-04,2392.41,197130.81
Cereals,Paddy,2369,2025-04-04,2185.68,134443.5
Cereals,Ragi,4886,2025-04-04,5269.48,47565.63
Cereals,Wheat,2585,2025-04-04,2761.98,73588.24
Fibre Crops,Cotton,7710,2025-04-04,8016.02,126724.27
Oil Seeds,Copra,12100,2025-04-04,12229.86,18103.44
Oil Seeds,Groundnut,7263,2025-04-04,7993.59,64189.97
Oil Seeds,Mustard,6200,2025-04-04,5616.92,8202.99
Oil Seeds,Safflower,6540,2025-04-04,6718.33,135528.99
Oil Seeds,Sesamum,9846,2025-04-04,8418.1,102443.01
Oil Seeds,Soyabean,5328,2025-04-04,4890.83,129052.3
Oil Seeds,Sunflower,7721,2025-04-04,6966.73,138203.0
Pulses,Arhar,8000,2025-04-04,7728.16,187349.16
Pulses,Bengal Gram,5875,2025-04-04,5236.13,68246.22
Pulses,Black Gram,7800,2025-04-04,6895.53,184942.49
Pulses,Green Gram,8768,2025-04-04,9760.55,51625.43
Pulses,Lentil,7000,2025-04-04,7335.97,163453.58
Vegetables,Onion,0,2025-04-04,1064.59,48408.37
Vegetables,Potato,0,2025-04-04,663.78,180088.59
Vegetables,Tomato,0,2025-04-04,1078.38,69874.45
Cereals,Bajra,2775,2025-04-05,2963.11,179427.2
Cereals,Barley,2150,2025-04-05,2399.67,155986.12
Cereals,Jowar,3699,2025-04-05,3856.61,16873.79
Cereals,Maize,2400,2025-04-05,2156.37,179715.91
Cereals,Paddy,2369,2025-04-05,2444.64,1888.95
Cereals,Ragi,4886,2025-04-05,4301.84,132717.18
Cereals,Wheat,2585,2025-04-05,2201.18,32203.57
Fibre Crops,Cotton,7710,2025-04-05,7822.72,138394.44
Oil Seeds,Copra,12100,2025-04-05,12651.62,44892.65
Oil Seeds,Groundnut,7263,2025-04-05,7725.32,47487.96
Oil Seeds,Mustard,6200,2025-04-05,5875.24,149310.96
Oil Seeds,Safflower,6540,2025-04-05,6833.58,169852.22
Oil Seeds,Sesamum,9846,2025-04-05,10311.56,113683.31
Oil Seeds,Soyabean,5328,2025-04-05,4678.53,73574.77
Oil Seeds,Sunflower,7721,2025-04-05,7177.14,48835.73
Pulses,Arhar,8000,2025-04-05,9135.23,78649.89
Pulses,Bengal Gram,5875,2025-04-05,6565.98,126246.17
Pulses,Black Gram,7800,2025-04-05,8489.86,100552.29
Pulses,Green Gram,8768,2025-04-05,8970.29,98528.91
Pulses,Lentil,7000,2025-04-05,6360.01,144504.3
Vegetables,Onion,0,2025-04-05,669.35,129112.19
Vegetables,Potato,0,2025-04-05,766.58,190788.02
Vegetables,Tomato,0,2025-04-05,1359.75,3140.55
Cereals,Bajra,2775,2025-04-06,3131.58,85665.42
Cereals,Barley,2150,2025-04-06,2450.99,192725.81
Cereals,Jowar,3699,2025-04-06,4090.73,58925.06
Cereals,Maize,2400,2025-04-06,2317.27,170234.78
Cereals,Paddy,2369,2025-04-06,2238.89,33940.07
Cereals,Ragi,4886,2025-04-06,4969.26,187234.15
Cereals,Wheat,2585,2025-04-06,2737.02,114033.73
Fibre Crops,Cotton,7710,2025-04-06,6778.27,123020.69
Oil Seeds,Copra,12100,2025-04-06,13878.9,28059.8
Oil Seeds,Groundnut,7263,2025-04-06,7302.94,175480.75
Oil Seeds,Mustard,6200,2025-04-06,6647.83,139418.3
Oil Seeds,Safflower,6540,2025-04-06,6937.27,71930.26
Oil Seeds,Sesamum,9846,2025-04-06,9236.31,161881.76
Oil Seeds,Soyabean,5328,2025-04-06,5823.69,173421.11
Oil Seeds,Sunflower,7721,2025-04-06,8678.19,102292.91
Pulses,Arhar,8000,2025-04-06,8003.64,159669.12
Pulses,Bengal Gram,5875,2025-04-06,6139.31,140408.28
Pulses,Black Gram,7800,2025-04-06,8492.15,178006.57
Pulses,Green Gram,8768,2025-04-06,8341.86,75147.81
Pulses,Lentil,7000,2025-04-06,6147.36,115677.11
Vegetables,Onion,0,2025-04-06,530.41,108551.79
Vegetables,Potato,0,2025-04-06,807.97,6148.52
Vegetables,Tomato,0,2025-04-06,589.35,72070.12
Cereals,Bajra,2775,2025-04-07,2464.53,104472.54
Cereals,Barley,2150,2025-04-07,2324.15,43203.41
Cereals,Jowar,3699,2025-04-07,3835.37,17115.23
Cereals,Maize,2400,2025-04-07,2077.21,106294.36
Cereals,Paddy,2369,2025-04-07,2397.88,127504.11
Cereals,Ragi,4886,2025-04-07,5217.4,195171.62
Cereals,Wheat,2585,2025-04-07,2597.64,64625.15
Fibre Crops,Cotton,7710,2025-04-07,8392.77,54202.91
Oil Seeds,Copra,12100,2025-04-07,11878.47,15737.35
Oil Seeds,Groundnut,7263,2025-04-07,6228.79,192531.55
Oil Seeds,Mustard,6200,2025-04-07,6824.92,139210.04
Oil Seeds,Safflower,6540,2025-04-07,6361.37,34700.2
Oil Seeds,Sesamum,9846,2025-04-07,8831.18,50086.07
Oil Seeds,Soyabean,5328,2025-04-07,5406.68,142933.45
Oil Seeds,Sunflower,7721,2025-04-07,8092.07,56022.78
Pulses,Arhar,8000,2025-04-07,9091.68,147592.49
Pulses,Bengal Gram,5875,2025-04-07,5970.8,122363.56
Pulses,Black Gram,7800,2025-04-07,7611.86,49583.81
Pulses,Green Gram,8768,2025-04-07,8389.15,151581.33
Pulses,Lentil,7000,2025-04-07,5980.23,23258.72
Vegetables,Onion,0,2025-04-07,470.77,171099.34
Vegetables,Potato,0,2025-04-07,1194.33,19611.94
Vegetables,Tomato,0,2025-04-07,983.72,34681.71
Cereals,Bajra,2775,2025-04-08,2719.93,79731.02
Cereals,Barley,2150,2025-04-08,2224.72,127036.98
Cereals,Jowar,3699,2025-04-08,3194.42,74953.79
Cereals,Maize,2400,2025-04-08,2490.62,100652.09
Cereals,Paddy,2369,2025-04-08,2622.36,131755.79
Cereals,Ragi,4886,2025-04-08,4391.93,14160.22
Cereals,Wheat,2585,2025-04-08,2695.45,5350.94
Fibre Crops,Cotton,7710,2025-04-08,7908.4,188049.04
Oil Seeds,Copra,12100,2025-04-08,12373.97,77664.58
Oil Seeds,Groundnut,7263,2025-04-08,7575.21,91677.67
Oil Seeds,Mustard,6200,2025-04-08,6284.85,188295.89
Oil Seeds,Safflower,6540,2025-04-08,6316.53,192240.05
Oil Seeds,Sesamum,9846,2025-04-08,11043.32,39198.44
Oil Seeds,Soyabean,5328,2025-04-08,4639.67,20200.56
Oil Seeds,Sunflower,7721,2025-04-08,6605.06,18933.87
Pulses,Arhar,8000,2025-04-08,8439.22,14284.17
Pulses,Bengal Gram,5875,2025-04-08,5555.94,168982.82
Pulses,Black Gram,7800,2025-04-08,6684.46,162902.97
Pulses,Green Gram,8768,2025-04-08,8194.19,23677.06
Pulses,Lentil,7000,2025-04-08,7413.15,125807.12
Vegetables,Onion,0,2025-04-08,1474.61,160706.01
Vegetables,Potato,0,2025-04-08,706.36,150135.42
Vegetables,Tomato,0,2025-04-08,1499.14,82552.9
Cereals,Bajra,2775,2025-04-09,2668.46,155293.77
Cereals,Barley,2150,2025-04-09,2047.32,186154.93
Cereals,Jowar,3699,2025-04-09,4096.73,85827.36
Cereals,Maize,2400,2025-04-09,2580.63,150920.85
Cereals,Paddy,2369,2025-04-09,2086.94,180515.45
Cereals,Ragi,4886,2025-04-09,4893.7,165300.17
Cereals,Wheat,2585,2025-04-09,2445.45,179109.87
Fibre Crops,Cotton,7710,2025-04-09,7453.72,2216.99
Oil Seeds,Copra,12100,2025-04-09,13571.54,18302.77
Oil Seeds,Groundnut,7263,2025-04-09,6869.3,190014.89
Oil Seeds,Mustard,6200,2025-04-09,7038.13,114708.91
Oil Seeds,Safflower,6540,2025-04-09,6798.66,89716.68
Oil Seeds,Sesamum,9846,2025-04-09,9235.19,65766.48
Oil Seeds,Soyabean,5328,2025-04-09,5603.75,150487.29
Oil Seeds,Sunflower,7721,2025-04-09,8396.38,157934.15
Pulses,Arhar,8000,2025-04-09,7018.89,98909.34
Pulses,Bengal Gram,5875,2025-04-09,5095.2,109928.3
Pulses,Black Gram,7800,2025-04-09,7663.18,177546.45
Pulses,Green Gram,8768,2025-04-09,8375.85,23457.55
Pulses,Lentil,7000,2025-04-09,6250.28,152314.05
Vegetables,Onion,0,2025-04-09,984.41,16867.16
Vegetables,Potato,0,2025-04-09,1047.04,164380.92
Vegetables,Tomato,0,2025-04-09,1054.74,17013.3
Cereals,Bajra,2775,2025-04-10,3180.13,74885.45
Cereals,Barley,2150,2025-04-10,2066.56,162569.27
Cereals,Jowar,3699,2025-04-10,4195.31,197200.91
Cereals,Maize,2400,2025-04-10,2582.43,75283.1
Cereals,Paddy,2369,2025-04-10,2072.99,155440.53
Cereals,Ragi,4886,2025-04-10,4971.61,84873.19
Cereals,Wheat,2585,2025-04-10,2900.13,22283.94
Fibre Crops,Cotton,7710,2025-04-10,7692.94,2320.16
Oil Seeds,Copra,12100,2025-04-10,11986.24,11307.84
Oil Seeds,Groundnut,7263,2025-04-10,6432.44,23549.37
Oil Seeds,Mustard,6200,2025-04-10,6477.53,149221.67
Oil Seeds,Safflower,6540,2025-04-10,6703.57,192436.4
Oil Seeds,Sesamum,9846,2025-04-10,9476.39,57178.13
Oil Seeds,Soyabean,5328,2025-04-10,5917.17,44757.99
Oil Seeds,Sunflower,7721,2025-04-10,8793.96,2480.29
Pulses,Arhar,8000,2025-04-10,9127.71,8679.82
Pulses,Bengal Gram,5875,2025-04-10,6564.39,105563.84
Pulses,Black Gram,7800,2025-04-10,8953.54,14805.62
Pulses,Green Gram,8768,2025-04-10,8909.66,193862.04
Pulses,Lentil,7000,2025-04-10,7048.51,125898.26
Vegetables,Onion,0,2025-04-10,1179.44,125530.24
Vegetables,Potato,0,2025-04-10,1214.81,9137.0
Vegetables,Tomato,0,2025-04-10,886.49,178058.24
Cereals,Bajra,2775,2025-04-11,2738.08,124045.51
Cereals,Barley,2150,2025-04-11,2006.41,37664.83
Cereals,Jowar,3699,2025-04-11,3658.72,70702.78
Cereals,Maize,2400,2025-04-11,2460.23,15593.04
Cereals,Paddy,2369,2025-04-11,2706.15,197242.84
Cereals,Ragi,4886,2025-04-11,5176.47,107242.47
Cereals,Wheat,2585,2025-04-11,2437.29,162768.31
Fibre Crops,Cotton,7710,2025-04-11,8137.28,32565.26
Oil Seeds,Copra,12100,2025-04-11,13591.67,164516.32
Oil Seeds,Groundnut,7263,2025-04-11,8243.07,145157.62
Oil Seeds,Mustard,6200,2025-04-11,6410.95,83677.7
Oil Seeds,Safflower,6540,2025-04-11,7389.01,173219.47
Oil Seeds,Sesamum,9846,2025-04-11,8502.67,5322.08
Oil Seeds,Soyabean,5328,2025-04-11,5130.54,162120.14
Oil Seeds,Sunflower,7721,2025-04-11,8849.68,30125.86
Pulses,Arhar,8000,2025-04-11,8225.91,76209.13
Pulses,Bengal Gram,5875,2025-04-11,6703.22,168431.68
Pulses,Black Gram,7800,2025-04-11,8591.69,93765.2
Pulses,Green Gram,8768,2025-04-11,8543.94,54717.74
Pulses,Lentil,7000,2025-04-11,6068.39,172951.24
Vegetables,Onion,0,2025-04-11,1509.72,199327.54
Vegetables,Potato,0,2025-04-11,1140.6,188955.91
Vegetables,Tomato,0,2025-04-11,1247.35,90136.3
Cereals,Bajra,2775,2025-04-12,2466.28,190812.5
Cereals,Barley,2150,2025-04-12,2218.48,45767.13
Cereals,Jowar,3699,2025-04-12,3889.54,123644.74
Cereals,Maize,2400,2025-04-12,2297.88,22755.84
Cereals,Paddy,2369,2025-04-12,2490.94,104085.52
Cereals,Ragi,4886,2025-04-12,5285.16,104056.69
Cereals,Wheat,2585,2025-04-12,2858.12,110403.77
Fibre Crops,Cotton,7710,2025-04-12,7850.95,175336.89
Oil Seeds,Copra,12100,2025-04-12,11749.64,26846.34
Oil Seeds,Groundnut,7263,2025-04-12,6236.26,151039.69
Oil Seeds,Mustard,6200,2025-04-12,6423.78,140830.75
Oil Seeds,Safflower,6540,2025-04-12,5976.84,27317.48
Oil Seeds,Sesamum,9846,2025-04-12,8412.06,70149.98
Oil Seeds,Soyabean,5328,2025-04-12,5471.72,78479.2
Oil Seeds,Sunflower,7721,2025-04-12,7576.17,180836.53
Pulses,Arhar,8000,2025-04-12,7635.81,102822.2
Pulses,Bengal Gram,5875,2025-04-12,6374.94,79338.73
Pulses,Black Gram,7800,2025-04-12,8085.68,172479.62
Pulses,Green Gram,8768,2025-04-12,9950.42,29457.34
Pulses,Lentil,7000,2025-04-12,7895.83,98448.65
Vegetables,Onion,0,2025-04-12,748.95,196007.51
Vegetables,Potato,0,2025-04-12,941.62,126698.5
Vegetables,Tomato,0,2025-04-12,645.97,25819.5
Cereals,Bajra,2775,2025-04-13,2465.35,30422.94
Cereals,Barley,2150,2025-04-13,1917.04,128192.91
Cereals,Jowar,3699,2025-04-13,3345.98,69166.17
Cereals,Maize,2400,2025-04-13,2685.69,94818.63
Cereals,Paddy,2369,2025-04-13,2488.08,34505.36
Cereals,Ragi,4886,2025-04-13,4434.96,8221.68
Cereals,Wheat,2585,2025-04-13,2328.26,55754.14
Fibre Crops,Cotton,7710,2025-04-13,6962.93,17786.07
Oil Seeds,Copra,12100,2025-04-13,10722.91,92182.71
Oil Seeds,Groundnut,7263,2025-04-13,6623.13,72885.76
Oil Seeds,Mustard,6200,2025-04-13,6206.36,138094.45
Oil Seeds,Safflower,6540,2025-04-13,5636.13,159892.11
Oil Seeds,Sesamum,9846,2025-04-13,10223.79,16397.72
Oil Seeds,Soyabean,5328,2025-04-13,5925.13,184178.44
Oil Seeds,Sunflower,7721,2025-04-13,6704.32,55411.69
Pulses,Arhar,8000,2025-04-13,8734.88,149664.53
Pulses,Bengal Gram,5875,2025-04-13,5318.97,41909.4
Pulses,Black Gram,7800,2025-04-13,7496.9,96930.37
Pulses,Green Gram,8768,2025-04-13,9079.06,73814.28
Pulses,Lentil,7000,2025-04-13,6921.32,149506.81
Vegetables,Onion,0,2025-04-13,496.82,142684.25
Vegetables,Potato,0,2025-04-13,1400.09,106446.09
Vegetables,Tomato,0,2025-04-13,597.59,106546.82
Cereals,Bajra,2775,2025-04-14,2560.61,53885.18
Cereals,Barley,2150,2025-04-14,2070.85,4063.24
Cereals,Jowar,3699,2025-04-14,3501.56,42329.03
Cereals,Maize,2400,2025-04-14,2275.8,23996.44
Cereals,Paddy,2369,2025-04-14,2646.55,118738.81
Cereals,Ragi,4886,2025-04-14,5148.53,157844.79
Cereals,Wheat,2585,2025-04-14,2583.79,17429.71
Fibre Crops,Cotton,7710,2025-04-14,7795.83,117388.88
Oil Seeds,Copra,12100,2025-04-14,12990.95,86360.33
Oil Seeds,Groundnut,7263,2025-04-14,6451.53,56790.99
Oil Seeds,Mustard,6200,2025-04-14,5945.33,129201.15
Oil Seeds,Safflower,6540,2025-04-14,6678.87,71251.54
Oil Seeds,Sesamum,9846,2025-04-14,11283.07,121174.68
Oil Seeds,Soyabean,5328,2025-04-14,4907.98,20401.41
Oil Seeds,Sunflower,7721,2025-04-14,6916.92,49229.25
Pulses,Arhar,8000,2025-04-14,7185.64,37354.08
Pulses,Bengal Gram,5875,2025-04-14,5496.23,34716.05
Pulses,Black Gram,7800,2025-04-14,8728.43,16092.74
Pulses,Green Gram,8768,2025-04-14,8832.47,82108.85
Pulses,Lentil,7000,2025-04-14,8013.0,22452.18
Vegetables,Onion,0,2025-04-14,1024.31,173108.15
Vegetables,Potato,0,2025-04-14,1221.41,34218.97
Vegetables,Tomato,0,2025-04-14,1319.18,111374.74
Cereals,Bajra,2775,2025-04-15,2834.62,56031.82
Cereals,Barley,2150,2025-04-15,2323.82,37449.4
Cereals,Jowar,3699,2025-04-15,3503.34,85116.02
Cereals,Maize,2400,2025-04-15,2405.48,48519.83
Cereals,Paddy,2369,2025-04-15,2095.26,122143.48
Cereals,Ragi,4886,2025-04-15,4576.17,116268.58
Cereals,Wheat,2585,2025-04-15,2316.96,96253.96
Fibre Crops,Cotton,7710,2025-04-15,7785.38,10412.12
Oil Seeds,Copra,12100,2025-04-15,11506.87,26926.21
Oil Seeds,Groundnut,7263,2025-04-15,6311.64,197992.55
Oil Seeds,Mustard,6200,2025-04-15,5869.58,161984.4
Oil Seeds,Safflower,6540,2025-04-15,6058.6,136316.47
Oil Seeds,Sesamum,9846,2025-04-15,10614.66,119147.97
Oil Seeds,Soyabean,5328,2025-04-15,5282.57,82397.59
Oil Seeds,Sunflower,7721,2025-04-15,7370.93,185909.35
Pulses,Arhar,8000,2025-04-15,8793.49,193007.13
Pulses,Bengal Gram,5875,2025-04-15,5212.82,146186.95
Pulses,Black Gram,7800,2025-04-15,8825.72,36287.55
Pulses,Green Gram,8768,2025-04-15,7627.71,148237.07
Pulses,Lentil,7000,2025-04-15,7156.39,168373.66
Vegetables,Onion,0,2025-04-15,696.44,40365.38
Vegetables,Potato,0,2025-04-15,596.81,162924.22
Vegetables,Tomato,0,2025-04-15,1173.26,71798.16
Cereals,Bajra,2775,2025-04-16,3089.02,78519.4
Cereals,Barley,2150,2025-04-16,2354.21,87855.02
Cereals,Jowar,3699,2025-04-16,3562.45,92562.82
Cereals,Maize,2400,2025-04-16,2256.99,149534.5
Cereals,Paddy,2369,2025-04-16,2370.93,46480.93
Cereals,Ragi,4886,2025-04-16,5471.7,76809.05
Cereals,Wheat,2585,2025-04-16,2618.78,181299.1
Fibre Crops,Cotton,7710,2025-04-16,7997.36,23423.76
Oil Seeds,Copra,12100,2025-04-16,13696.59,125560.23
Oil Seeds,Groundnut,7263,2025-04-16,6903.28,27897.45
Oil Seeds,Mustard,6200,2025-04-16,6746.89,124033.55
Oil Seeds,Safflower,6540,2025-04-16,6605.65,178783.82
Oil Seeds,Sesamum,9846,2025-04-16,10698.46,30377.39
Oil Seeds,Soyabean,5328,2025-04-16,5027.06,49735.4
Oil Seeds,Sunflower,7721,2025-04-16,8286.05,6754.81
Pulses,Arhar,8000,2025-04-16,8167.74,152503.61
Pulses,Bengal Gram,5875,2025-04-16,6539.05,68449.25
Pulses,Black Gram,7800,2025-04-16,8551.74,22170.82
Pulses,Green Gram,8768,2025-04-16,9679.31,25541.36
Pulses,Lentil,7000,2025-04-16,6784.3,159469.21
Vegetables,Onion,0,2025-04-16,597.13,144464.4
Vegetables,Potato,0,2025-04-16,1271.7,138804.99
Vegetables,Tomato,0,2025-04-16,965.08,69171.91
Cereals,Bajra,2775,2025-04-17,2509.93,181694.69
Cereals,Barley,2150,2025-04-17,2203.79,80200.24
Cereals,Jowar,3699,2025-04-17,3656.84,189459.3
Cereals,Maize,2400,2025-04-17,2150.41,117266.65
Cereals,Paddy,2369,2025-04-17,2373.19,122310.27
Cereals,Ragi,4886,2025-04-17,4179.65,174431.18
Cereals,Wheat,2585,2025-04-17,2920.11,113048.38
Fibre Crops,Cotton,7710,2025-04-17,8164.85,184503.75
Oil Seeds,Copra,12100,2025-04-17,12852.28,30550.18
Oil Seeds,Groundnut,7263,2025-04-17,7429.22,121362.67
Oil Seeds,Mustard,6200,2025-04-17,6058.88,147302.02
Oil Seeds,Safflower,6540,2025-04-17,7392.23,185117.42
Oil Seeds,Sesamum,9846,2025-04-17,9700.79,22691.95
Oil Seeds,Soyabean,5328,2025-04-17,6102.97,167787.67
Oil Seeds,Sunflower,7721,2025-04-17,6851.61,184172.33
Pulses,Arhar,8000,2025-04-17,8887.75,103791.67
Pulses,Bengal Gram,5875,2025-04-17,6035.87,79830.59
Pulses,Black Gram,7800,2025-04-17,6758.14,67072.69
Pulses,Green Gram,8768,2025-04-17,9564.63,976.17
Pulses,Lentil,7000,2025-04-17,6650.35,79663.83
Vegetables,Onion,0,2025-04-17,1168.06,69301.88
Vegetables,Potato,0,2025-04-17,907.3,90470.98
Vegetables,Tomato,0,2025-04-17,714.27,28214.36
Cereals,Bajra,2775,2025-04-18,2505.59,99698.64
Cereals,Barley,2150,2025-04-18,2097.71,182973.44
Cereals,Jowar,3699,2025-04-18,3546.3,116138.64
Cereals,Maize,2400,2025-04-18,2495.23,2668.24
Cereals,Paddy,2369,2025-04-18,2485.23,35648.29
Cereals,Ragi,4886,2025-04-18,5561.84,29775.11
Cereals,Wheat,2585,2025-04-18,2518.79,17115.67
Fibre Crops,Cotton,7710,2025-04-18,8859.27,100463.89
Oil Seeds,Copra,12100,2025-04-18,12446.25,13461.94
Oil Seeds,Groundnut,7263,2025-04-18,7807.64,42020.62
Oil Seeds,Mustard,6200,2025-04-18,6940.38,41067.67
Oil Seeds,Safflower,6540,2025-04-18,5933.13,7358.11
Oil Seeds,Sesamum,9846,2025-04-18,9763.49,112989.98
Oil Seeds,Soyabean,5328,2025-04-18,4633.83,155116.75
Oil Seeds,Sunflower,7721,2025-04-18,7612.8,104901.83
Pulses,Arhar,8000,2025-04-18,7857.83,80182.57
Pulses,Bengal Gram,5875,2025-04-18,5980.12,31090.29
Pulses,Black Gram,7800,2025-04-18,7055.71,172364.03
Pulses,Green Gram,8768,2025-04-18,9941.46,74693.2
Pulses,Lentil,7000,2025-04-18,6518.56,128817.71
Vegetables,Onion,0,2025-04-18,779.34,31272.71
Vegetables,Potato,0,2025-04-18,1273.95,5467.84
Vegetables,Tomato,0,2025-04-18,663.73,134394.95
Cereals,Bajra,2775,2025-04-19,2375.16,20866.51
Cereals,Barley,2150,2025-04-19,2343.45,35750.01
Cereals,Jowar,3699,2025-04-19,3868.5,47674.65
Cereals,Maize,2400,2025-04-19,2111.6,48672.28
Cereals,Paddy,2369,2025-04-19,2526.97,171146.51
Cereals,Ragi,4886,2025-04-19,5370.04,79466.85
Cereals,Wheat,2585,2025-04-19,2715.35,41036.61
Fibre Crops,Cotton,7710,2025-04-19,7231.55,179272.35
Oil Seeds,Copra,12100,2025-04-19,10332.2,17147.43
Oil Seeds,Groundnut,7263,2025-04-19,6626.51,5355.11
Oil Seeds,Mustard,6200,2025-04-19,5607.47,116629.16
Oil Seeds,Safflower,6540,2025-04-19,6385.83,178539.71
Oil Seeds,Sesamum,9846,2025-04-19,10783.66,68396.38
Oil Seeds,Soyabean,5328,2025-04-19,4943.46,75969.5
Oil Seeds,Sunflower,7721,2025-04-19,7930.15,53649.32
Pulses,Arhar,8000,2025-04-19,8297.96,81911.86
Pulses,Bengal Gram,5875,2025-04-19,5966.73,87253.5
Pulses,Black Gram,7800,2025-04-19,7319.05,189693.24
Pulses,Green Gram,8768,2025-04-19,9461.39,28065.63
Pulses,Lentil,7000,2025-04-19,7773.78,97511.87
Vegetables,Onion,0,2025-04-19,1520.0,85071.44
Vegetables,Potato,0,2025-04-19,486.21,108349.76
Vegetables,Tomato,0,2025-04-19,1051.15,27914.25
Cereals,Bajra,2775,2025-04-20,3053.83,196881.22
Cereals,Barley,2150,2025-04-20,2166.57,34377.27
Cereals,Jowar,3699,2025-04-20,3446.33,3727.22
Cereals,Maize,2400,2025-04-20,2698.3,23594.33
Cereals,Paddy,2369,2025-04-20,2423.38,54847.34
Cereals,Ragi,4886,2025-04-20,4965.41,130301.51
Cereals,Wheat,2585,2025-04-20,2840.71,41323.93
Fibre Crops,Cotton,7710,2025-04-20,6578.93,27420.28
Oil Seeds,Copra,12100,2025-04-20,13552.07,174784.32
